61,2.523,1390920289,user_group-2,0.929334,,{'post_tweet': 0.5486559867858887, 'get_tweets': 0.3799259662628174}
62,2.571,1390920290,user_group-2,0.913510,,{'post_tweet': 0.5523209571838379, 'get_tweets': 0.36063098907470703}
63,2.607,1390920290,user_group-1,0.527919,,{'get_tweets': 0.5276751518249512}
64,2.635,1390920290,user_group-2,0.944135,,{'post_tweet': 0.5989420413970947, 'get_tweets': 0.34456920623779297}
65,2.638,1390920290,user_group-1,0.550970,,{'get_tweets': 0.5507469177246094}
66,2.648,1390920290,user_group-2,0.939752,,{'post_tweet': 0.5886750221252441, 'get_tweets': 0.3505098819732666}
67,2.649,1390920290,user_group-2,0.988528,,{'post_tweet': 0.6282858848571777, 'get_tweets': 0.35965991020202637}
68,2.691,1390920290,user_group-2,0.973428,,{'post_tweet': 0.6268970966339111, 'get_tweets': 0.34595298767089844}
69,2.790,1390920290,user_group-2,1.014846,,{'post_tweet': 0.6993520259857178, 'get_tweets': 0.3149089813232422}
70,2.808,1390920290,user_group-2,0.987691,,{'post_tweet': 0.5138669013977051, 'get_tweets': 0.47322893142700195}
71,2.819,1390920290,user_group-2,0.987649,,{'post_tweet': 0.557379961013794, 'get_tweets': 0.4296391010284424}
72,2.899,1390920290,user_group-2,1.076349,,{'post_tweet': 0.5899009704589844, 'get_tweets': 0.48584985733032227}
73,2.913,1390920290,user_group-2,1.115591,,{'post_tweet': 0.6461091041564941, 'get_tweets': 0.4689180850982666}
74,2.916,1390920290,user_group-2,0.981308,,{'post_tweet': 0.5998830795288086, 'get_tweets': 0.38085508346557617}
75,2.939,1390920290,user_group-1,0.442795,,{'get_tweets': 0.4425539970397949}
76,3.029,1390920290,user_group-1,0.422575,,{'get_tweets': 0.42232680320739746}
77,3.049,1390920290,user_group-2,0.993079,,{'post_tweet': 0.43450284004211426, 'get_tweets': 0.5579559803009033}
78,3.054,1390920290,user_group-1,0.415962,,{'get_tweets': 0.41570496559143066}
79,3.077,1390920290,user_group-2,1.030028,,{'post_tweet': 0.47324109077453613, 'get_tweets': 0.5562269687652588}
80,3.259,1390920290,user_group-2,0.987016,,{'post_tweet': 0.4847738742828369, 'get_tweets': 0.501662015914917}
81,3.315,1390920290,user_group-2,1.044428,,{'post_tweet': 0.5585019588470459, 'get_tweets': 0.4853401184082031}
82,3.486,1390920290,user_group-2,1.326841,,{'post_tweet': 0.7585740089416504, 'get_tweets': 0.5676689147949219}
83,3.505,1390920290,user_group-2,1.120298,,{'post_tweet': 0.6590688228607178, 'get_tweets': 0.4606449604034424}
84,3.545,1390920291,user_group-2,1.047073,,{'post_tweet': 0.6378111839294434, 'get_tweets': 0.4086630344390869}
85,3.558,1390920291,user_group-1,0.619289,,{'get_tweets': 0.6190359592437744}
86,3.573,1390920291,user_group-2,1.058316,,{'post_tweet': 0.6639111042022705, 'get_tweets': 0.3937690258026123}
87,3.616,1390920291,user_group-2,1.099755,,{'post_tweet': 0.6799290180206299, 'get_tweets': 0.41928696632385254}
88,3.625,1390920291,user_group-2,1.106843,,{'post_tweet': 0.6634719371795654, 'get_tweets': 0.44280481338500977}
89,3.644,1390920291,user_group-1,0.614936,,{'get_tweets': 0.6146931648254395}
90,3.647,1390920291,user_group-1,0.620238,,{'get_tweets': 0.6200060844421387}
91,3.664,1390920291,user_group-2,1.142053,,{'post_tweet': 0.6769051551818848, 'get_tweets': 0.46459197998046875}
92,3.705,1390920291,user_group-2,1.096342,,{'post_tweet': 0.6927709579467773, 'get_tweets': 0.402987003326416}
93,3.714,1390920291,user_group-1,0.660086,,{'get_tweets': 0.6598269939422607}
94,3.726,1390920291,user_group-2,1.203362,,{'post_tweet': 0.6814110279083252, 'get_tweets': 0.5213959217071533}
95,3.732,1390920291,user_group-2,1.160037,,{'post_tweet': 0.7087769508361816, 'get_tweets': 0.4506862163543701}
96,3.833,1390920291,user_group-2,1.111986,,{'post_tweet': 0.7654581069946289, 'get_tweets': 0.34595298767089844}
97,3.938,1390920291,user_group-2,1.302112,,{'post_tweet': 0.866595983505249, 'get_tweets': 0.4349479675292969}
98,3.951,1390920291,user_group-2,1.143198,,{'post_tweet': 0.676145076751709, 'get_tweets': 0.4664731025695801}
99,3.953,1390920291,user_group-2,1.303468,,{'post_tweet': 0.7355740070343018, 'get_tweets': 0.5672838687896729}
100,3.962,1390920291,user_group-2,1.269998,,{'post_tweet': 0.8651590347290039, 'get_tweets': 0.4042971134185791}
101,3.965,1390920291,user_group-2,1.316994,,{'post_tweet': 0.8725740909576416, 'get_tweets': 0.44385504722595215}
102,4.007,1390920291,user_group-2,1.174048,,{'post_tweet': 0.7140059471130371, 'get_tweets': 0.45883989334106445}
103,4.052,1390920291,user_group-2,1.152919,,{'post_tweet': 0.7119169235229492, 'get_tweets': 0.44040513038635254}
104,4.077,1390920291,user_group-2,1.286980,,{'post_tweet': 0.7854928970336914, 'get_tweets': 0.5006768703460693}
105,4.233,1390920291,user_group-2,1.413607,,{'post_tweet': 0.9093091487884521, 'get_tweets': 0.5037069320678711}
106,4.242,1390920291,user_group-2,1.329005,,{'post_tweet': 0.8917410373687744, 'get_tweets': 0.4366779327392578}
107,4.266,1390920291,user_group-2,1.349751,,{'post_tweet': 0.7322909832000732, 'get_tweets': 0.6168479919433594}
108,4.282,1390920291,user_group-1,0.723827,,{'get_tweets': 0.7234859466552734}
109,4.292,1390920291,user_group-2,1.347003,,{'post_tweet': 0.7482709884643555, 'get_tweets': 0.5981440544128418}
110,4.385,1390920291,user_group-1,0.738332,,{'get_tweets': 0.7380838394165039}
111,4.389,1390920291,user_group-1,0.744714,,{'get_tweets': 0.7444639205932617}
112,4.434,1390920291,user_group-1,0.720052,,{'get_tweets': 0.7198028564453125}
113,4.439,1390920291,user_group-2,1.389932,,{'post_tweet': 0.7419970035552979, 'get_tweets': 0.6473569869995117}
114,4.554,1390920292,user_group-2,1.383895,,{'post_tweet': 0.7556390762329102, 'get_tweets': 0.6277110576629639}
115,4.572,1390920292,user_group-2,1.514212,,{'post_tweet': 0.7819838523864746, 'get_tweets': 0.7316601276397705}
116,4.595,1390920292,user_group-2,1.335982,,{'post_tweet': 0.6724309921264648, 'get_tweets': 0.6629841327667236}
117,4.601,1390920292,user_group-2,1.523735,,{'post_tweet': 0.7779080867767334, 'get_tweets': 0.745258092880249}
118,4.627,1390920292,user_group-2,1.344484,,{'post_tweet': 0.6804111003875732, 'get_tweets': 0.6634960174560547}
119,4.695,1390920292,user_group-1,0.666890,,{'get_tweets': 0.6666431427001953}
120,4.754,1390920292,user_group-2,1.438969,,{'post_tweet': 0.6973361968994141, 'get_tweets': 0.7410709857940674}
121,4.801,1390920292,user_group-2,1.314457,,{'post_tweet': 0.7134251594543457, 'get_tweets': 0.6004650592803955}
122,4.826,1390920292,user_group-2,1.321417,,{'post_tweet': 0.7225120067596436, 'get_tweets': 0.598304033279419}
123,4.850,1390920292,user_group-2,1.455911,,{'post_tweet': 0.765153169631958, 'get_tweets': 0.6901769638061523}
124,4.890,1390920292,user_group-1,0.608282,,{'get_tweets': 0.6080119609832764}
125,4.905,1390920292,user_group-2,1.397827,,{'post_tweet': 0.6291210651397705, 'get_tweets': 0.7681410312652588}
126,4.968,1390920292,user_group-2,1.422814,,{'post_tweet': 0.6619610786437988, 'get_tweets': 0.759692907333374}
127,4.980,1390920292,user_group-2,1.358432,,{'post_tweet': 0.6259880065917969, 'get_tweets': 0.7318868637084961}
128,4.993,1390920292,user_group-2,1.420143,,{'post_tweet': 0.7123861312866211, 'get_tweets': 0.7071738243103027}
129,5.042,1390920292,user_group-1,0.652665,,{'get_tweets': 0.6524169445037842}
130,5.053,1390920292,user_group-1,0.667218,,{'get_tweets': 0.6669738292694092}
131,5.061,1390920292,user_group-2,1.445433,,{'post_tweet': 0.7283799648284912, 'get_tweets': 0.7165238857269287}
132,5.072,1390920292,user_group-2,1.446468,,{'post_tweet': 0.6934430599212646, 'get_tweets': 0.7524449825286865}
133,5.083,1390920292,user_group-1,0.648097,,{'get_tweets': 0.6478281021118164}
134,5.094,1390920292,user_group-2,1.430120,,{'post_tweet': 0.7245919704437256, 'get_tweets': 0.7049641609191895}
135,5.218,1390920292,user_group-2,1.512442,,{'post_tweet': 0.8225960731506348, 'get_tweets': 0.689277172088623}
136,5.229,1390920292,user_group-2,1.494802,,{'post_tweet': 0.7643759250640869, 'get_tweets': 0.7297821044921875}
137,5.241,1390920292,user_group-2,1.514552,,{'post_tweet': 0.7876298427581787, 'get_tweets': 0.7263541221618652}
138,5.259,1390920292,user_group-2,1.526828,,{'post_tweet': 0.7824819087982178, 'get_tweets': 0.7437770366668701}
139,5.269,1390920292,user_group-2,1.436398,,{'post_tweet': 0.7526869773864746, 'get_tweets': 0.6831319332122803}
140,5.309,1390920292,user_group-2,1.462551,,{'post_tweet': 0.8007829189300537, 'get_tweets': 0.66119384765625}
141,5.411,1390920292,user_group-2,1.473157,,{'post_tweet': 0.8479478359222412, 'get_tweets': 0.6245880126953125}
142,5.444,1390920292,user_group-2,1.492910,,{'post_tweet': 0.8326261043548584, 'get_tweets': 0.659714937210083}
143,5.478,1390920292,user_group-2,1.518891,,{'post_tweet': 0.845634937286377, 'get_tweets': 0.6726329326629639}
144,5.504,1390920292,user_group-2,1.542046,,{'post_tweet': 0.8337280750274658, 'get_tweets': 0.7076680660247803}
145,5.532,1390920293,user_group-2,1.525097,,{'post_tweet': 0.8586461544036865, 'get_tweets': 0.6658680438995361}
146,5.541,1390920293,user_group-1,0.845371,,{'get_tweets': 0.845134973526001}
147,5.565,1390920293,user_group-2,1.611913,,{'post_tweet': 0.914139986038208, 'get_tweets': 0.6972169876098633}
148,5.588,1390920293,user_group-2,1.623478,,{'post_tweet': 0.9059689044952393, 'get_tweets': 0.7169299125671387}
149,5.643,1390920293,user_group-2,1.571405,,{'post_tweet': 0.8828568458557129, 'get_tweets': 0.6879711151123047}
150,5.654,1390920293,user_group-2,1.602375,,{'post_tweet': 0.9467289447784424, 'get_tweets': 0.6550500392913818}
151,5.664,1390920293,user_group-2,1.586805,,{'post_tweet': 0.9176731109619141, 'get_tweets': 0.6685328483581543}
152,5.710,1390920293,user_group-2,1.526952,,{'post_tweet': 0.9124000072479248, 'get_tweets': 0.6139600276947021}
153,5.785,1390920293,user_group-1,0.894297,,{'get_tweets': 0.8940589427947998}
154,5.789,1390920293,user_group-2,1.546656,,{'post_tweet': 0.977078914642334, 'get_tweets': 0.5690000057220459}
155,5.801,1390920293,user_group-2,1.534517,,{'post_tweet': 0.9565749168395996, 'get_tweets': 0.5773789882659912}
156,5.826,1390920293,user_group-2,1.592707,,{'post_tweet': 0.996783971786499, 'get_tweets': 0.5953772068023682}
157,5.857,1390920293,user_group-1,0.827185,,{'get_tweets': 0.8268969058990479}
158,6.010,1390920293,user_group-2,1.714211,,{'post_tweet': 1.0858509540557861, 'get_tweets': 0.6277549266815186}
159,6.043,1390920293,user_group-1,1.000510,,{'get_tweets': 1.0002648830413818}
160,6.087,1390920293,user_group-1,1.034599,,{'get_tweets': 1.034350872039795}
161,6.272,1390920293,user_group-1,1.188955,,{'get_tweets': 1.1887211799621582}
162,6.276,1390920293,user_group-2,1.983403,,{'post_tweet': 1.3242549896240234, 'get_tweets': 0.6585659980773926}
163,6.442,1390920293,user_group-2,2.033555,,{'post_tweet': 1.3356919288635254, 'get_tweets': 0.6972460746765137}
164,6.468,1390920293,user_group-2,2.028920,,{'post_tweet': 1.2610459327697754, 'get_tweets': 0.7673201560974121}
165,6.532,1390920294,user_group-2,2.011836,,{'post_tweet': 1.237177848815918, 'get_tweets': 0.7740621566772461}
166,6.556,1390920294,user_group-2,2.001680,,{'post_tweet': 1.2021031379699707, 'get_tweets': 0.7989678382873535}
167,6.557,1390920294,user_group-2,1.985397,,{'post_tweet': 1.194978952407837, 'get_tweets': 0.7898550033569336}
168,6.665,1390920294,user_group-2,2.063352,,{'post_tweet': 1.2871670722961426, 'get_tweets': 0.7756490707397461}
169,6.705,1390920294,user_group-2,2.109870,,{'post_tweet': 1.3329811096191406, 'get_tweets': 0.7763140201568604}
170,6.791,1390920294,user_group-1,1.250545,,{'get_tweets': 1.2502930164337158}
171,6.799,1390920294,user_group-2,2.163609,,{'post_tweet': 1.333122968673706, 'get_tweets': 0.8298799991607666}
172,6.812,1390920294,user_group-2,2.184639,,{'post_tweet': 1.3787240982055664, 'get_tweets': 0.8053469657897949}
173,6.957,1390920294,user_group-2,2.202467,,{'post_tweet': 1.3951358795166016, 'get_tweets': 0.8067259788513184}
174,7.053,1390920294,user_group-2,2.251836,,{'post_tweet': 1.3924460411071777, 'get_tweets': 0.8588671684265137}
175,7.100,1390920294,user_group-2,2.273552,,{'post_tweet': 1.3924448490142822, 'get_tweets': 0.8805580139160156}
176,7.109,1390920294,user_group-1,1.324443,,{'get_tweets': 1.3242130279541016}
177,7.247,1390920294,user_group-2,2.498496,,{'post_tweet': 1.6422691345214844, 'get_tweets': 0.8556458950042725}
178,7.289,1390920294,user_group-1,1.431954,,{'get_tweets': 1.4317090511322021}
179,7.328,1390920294,user_group-2,2.468028,,{'post_tweet': 1.5303521156311035, 'get_tweets': 0.9370517730712891}
180,7.345,1390920294,user_group-2,2.440098,,{'post_tweet': 1.513592004776001, 'get_tweets': 0.9259128570556641}
181,7.552,1390920295,user_group-2,2.701343,,{'post_tweet': 1.7775180339813232, 'get_tweets': 0.9232120513916016}
182,7.557,1390920295,user_group-2,2.576932,,{'post_tweet': 1.6894199848175049, 'get_tweets': 0.8869419097900391}
183,7.566,1390920295,user_group-2,2.598425,,{'post_tweet': 1.5714530944824219, 'get_tweets': 1.0264370441436768}
184,7.582,1390920295,user_group-1,1.539436,,{'get_tweets': 1.5392038822174072}
185,7.585,1390920295,user_group-1,1.552307,,{'get_tweets': 1.5520448684692383}
186,7.660,1390920295,user_group-1,1.572649,,{'get_tweets': 1.5724079608917236}
187,7.672,1390920295,user_group-2,2.679373,,{'post_tweet': 1.6128740310668945, 'get_tweets': 1.0659129619598389}
188,7.679,1390920295,user_group-2,2.705612,,{'post_tweet': 1.672785997390747, 'get_tweets': 1.032193899154663}
189,7.741,1390920295,user_group-2,2.655431,,{'post_tweet': 1.6657888889312744, 'get_tweets': 0.989081859588623}
190,7.755,1390920295,user_group-2,2.693930,,{'post_tweet': 1.6746490001678467, 'get_tweets': 1.018704891204834}
191,7.758,1390920295,user_group-1,1.486311,,{'get_tweets': 1.4860661029815674}
192,7.799,1390920295,user_group-2,2.726919,,{'post_tweet': 1.5242419242858887, 'get_tweets': 1.201997995376587}
193,7.993,1390920295,user_group-2,2.734200,,{'post_tweet': 1.614713191986084, 'get_tweets': 1.1188991069793701}
194,7.998,1390920295,user_group-2,2.904402,,{'post_tweet': 1.882840871810913, 'get_tweets': 1.0210051536560059}
195,8.004,1390920295,user_group-2,2.762836,,{'post_tweet': 1.6185369491577148, 'get_tweets': 1.1436982154846191}
196,8.007,1390920295,user_group-2,2.789028,,{'post_tweet': 1.681039810180664, 'get_tweets': 1.1073431968688965}
197,8.075,1390920295,user_group-2,2.845985,,{'post_tweet': 1.6619768142700195, 'get_tweets': 1.1829791069030762}
198,8.096,1390920295,user_group-2,2.897953,,{'post_tweet': 1.757066011428833, 'get_tweets': 1.1401808261871338}
199,8.102,1390920295,user_group-2,2.832171,,{'post_tweet': 1.7149028778076172, 'get_tweets': 1.1167268753051758}
200,8.108,1390920295,user_group-2,2.795020,,{'post_tweet': 1.6746978759765625, 'get_tweets': 1.1196918487548828}
201,8.298,1390920295,user_group-2,2.988624,,{'post_tweet': 1.8142809867858887, 'get_tweets': 1.173724889755249}
202,8.374,1390920295,user_group-2,2.962487,,{'post_tweet': 1.8570308685302734, 'get_tweets': 1.1048400402069092}
203,8.469,1390920295,user_group-2,3.043813,,{'post_tweet': 1.7964539527893066, 'get_tweets': 1.2467169761657715}
204,8.493,1390920295,user_group-1,1.701617,,{'get_tweets': 1.7013869285583496}
205,8.518,1390920295,user_group-2,3.040213,,{'post_tweet': 1.8194680213928223, 'get_tweets': 1.2200720310211182}
