54,0.940,1389793804,user_group-2,0.180730,Bad Response: HTTP 201,{'post_tweet': 0.10773205757141113, 'get_tweets': 0.0724179744720459}
55,0.967,1389793805,user_group-2,0.175567,Bad Response: HTTP 201,{'post_tweet': 0.10036492347717285, 'get_tweets': 0.07445979118347168}
56,0.973,1389793805,user_group-1,0.100633,,{'get_tweets': 0.10040879249572754}
57,0.987,1389793805,user_group-2,0.187457,Bad Response: HTTP 201,{'post_tweet': 0.09960317611694336, 'get_tweets': 0.08728289604187012}
58,1.027,1389793805,user_group-2,0.201086,Bad Response: HTTP 201,{'post_tweet': 0.10105419158935547, 'get_tweets': 0.0994570255279541}
59,1.050,1389793805,user_group-2,0.204339,Bad Response: HTTP 201,{'post_tweet': 0.10381698608398438, 'get_tweets': 0.0999610424041748}
60,1.064,1389793805,user_group-2,0.204180,Bad Response: HTTP 201,{'post_tweet': 0.11098599433898926, 'get_tweets': 0.09263110160827637}
61,1.077,1389793805,user_group-1,0.103370,,{'get_tweets': 0.10314488410949707}
62,1.097,1389793805,user_group-2,0.194021,Bad Response: HTTP 201,{'post_tweet': 0.10355091094970703, 'get_tweets': 0.08988595008850098}
63,1.111,1389793805,user_group-2,0.199157,Bad Response: HTTP 201,{'post_tweet': 0.11034893989562988, 'get_tweets': 0.08823585510253906}
64,1.128,1389793805,user_group-2,0.209177,Bad Response: HTTP 201,{'post_tweet': 0.11820387840270996, 'get_tweets': 0.09033799171447754}
65,1.136,1389793805,user_group-1,0.114143,,{'get_tweets': 0.1139061450958252}
66,1.170,1389793805,user_group-2,0.230029,Bad Response: HTTP 201,{'post_tweet': 0.13449788093566895, 'get_tweets': 0.09482717514038086}
67,1.199,1389793805,user_group-2,0.231623,Bad Response: HTTP 201,{'post_tweet': 0.12772393226623535, 'get_tweets': 0.10318803787231445}
68,1.205,1389793805,user_group-1,0.128302,,{'get_tweets': 0.12807798385620117}
69,1.221,1389793805,user_group-2,0.233600,Bad Response: HTTP 201,{'post_tweet': 0.13742804527282715, 'get_tweets': 0.09557580947875977}
70,1.244,1389793805,user_group-1,0.108235,,{'get_tweets': 0.1080019474029541}
71,1.286,1389793805,user_group-2,0.261931,Bad Response: HTTP 201,{'post_tweet': 0.14129877090454102, 'get_tweets': 0.12006306648254395}
72,1.301,1389793805,user_group-2,0.273799,Bad Response: HTTP 201,{'post_tweet': 0.14736509323120117, 'get_tweets': 0.12583208084106445}
73,1.322,1389793805,user_group-2,0.271299,Bad Response: HTTP 201,{'post_tweet': 0.14383316040039062, 'get_tweets': 0.1267988681793213}
74,1.335,1389793805,user_group-2,0.271085,Bad Response: HTTP 201,{'post_tweet': 0.15069818496704102, 'get_tweets': 0.1197969913482666}
75,1.349,1389793805,user_group-1,0.143311,,{'get_tweets': 0.143049955368042}
76,1.369,1389793805,user_group-2,0.271595,Bad Response: HTTP 201,{'post_tweet': 0.14368510246276855, 'get_tweets': 0.1273038387298584}
77,1.385,1389793805,user_group-2,0.273977,Bad Response: HTTP 201,{'post_tweet': 0.15348505973815918, 'get_tweets': 0.11989498138427734}
78,1.401,1389793805,user_group-2,0.272763,Bad Response: HTTP 201,{'post_tweet': 0.16259098052978516, 'get_tweets': 0.10958409309387207}
79,1.407,1389793805,user_group-1,0.162374,,{'get_tweets': 0.16191792488098145}
80,1.428,1389793805,user_group-2,0.289907,Bad Response: HTTP 201,{'post_tweet': 0.1550750732421875, 'get_tweets': 0.1342780590057373}
81,1.455,1389793805,user_group-2,0.284581,Bad Response: HTTP 201,{'post_tweet': 0.14760804176330566, 'get_tweets': 0.13638997077941895}
82,1.482,1389793805,user_group-2,0.283660,Bad Response: HTTP 201,{'post_tweet': 0.14002609252929688, 'get_tweets': 0.14303088188171387}
83,1.489,1389793805,user_group-1,0.140005,,{'get_tweets': 0.1397719383239746}
84,1.523,1389793805,user_group-2,0.302391,Bad Response: HTTP 201,{'post_tweet': 0.16791415214538574, 'get_tweets': 0.1338801383972168}
85,1.554,1389793805,user_group-1,0.147601,,{'get_tweets': 0.14738011360168457}
86,1.569,1389793805,user_group-2,0.319143,Bad Response: HTTP 201,{'post_tweet': 0.1550898551940918, 'get_tweets': 0.16344714164733887}
87,1.590,1389793805,user_group-2,0.303738,Bad Response: HTTP 201,{'post_tweet': 0.15560698509216309, 'get_tweets': 0.14754080772399902}
88,1.605,1389793805,user_group-2,0.303695,Bad Response: HTTP 201,{'post_tweet': 0.16340112686157227, 'get_tweets': 0.1397099494934082}
89,1.625,1389793805,user_group-2,0.303750,Bad Response: HTTP 201,{'post_tweet': 0.16416001319885254, 'get_tweets': 0.1390080451965332}
90,1.642,1389793805,user_group-2,0.306839,Bad Response: HTTP 201,{'post_tweet': 0.17438602447509766, 'get_tweets': 0.13185405731201172}
91,1.661,1389793805,user_group-1,0.172373,,{'get_tweets': 0.17213010787963867}
92,1.682,1389793805,user_group-2,0.320907,Bad Response: HTTP 201,{'post_tweet': 0.15265893936157227, 'get_tweets': 0.16762900352478027}
93,1.696,1389793805,user_group-2,0.327023,Bad Response: HTTP 201,{'post_tweet': 0.15874004364013672, 'get_tweets': 0.1676340103149414}
94,1.711,1389793805,user_group-2,0.325457,Bad Response: HTTP 201,{'post_tweet': 0.16887712478637695, 'get_tweets': 0.15601587295532227}
95,1.725,1389793805,user_group-2,0.324090,Bad Response: HTTP 201,{'post_tweet': 0.17662811279296875, 'get_tweets': 0.14687204360961914}
96,1.739,1389793805,user_group-1,0.184603,,{'get_tweets': 0.18438005447387695}
97,1.775,1389793805,user_group-2,0.347340,Bad Response: HTTP 201,{'post_tweet': 0.1995859146118164, 'get_tweets': 0.14708900451660156}
98,1.808,1389793805,user_group-2,0.353023,Bad Response: HTTP 201,{'post_tweet': 0.19672513008117676, 'get_tweets': 0.15570592880249023}
99,1.836,1389793805,user_group-2,0.362796,Bad Response: HTTP 201,{'post_tweet': 0.18541383743286133, 'get_tweets': 0.17684102058410645}
100,1.849,1389793805,user_group-2,0.367034,Bad Response: HTTP 201,{'post_tweet': 0.1946089267730713, 'get_tweets': 0.17183709144592285}
101,1.856,1389793805,user_group-1,0.194319,,{'get_tweets': 0.19408702850341797}
102,1.872,1389793805,user_group-2,0.348444,Bad Response: HTTP 201,{'post_tweet': 0.20214509963989258, 'get_tweets': 0.14566898345947266}
