1,0.034,1389793545,user_group-1,0.027094,,{'get_tweets': 0.02539992332458496}
2,0.046,1389793545,user_group-1,0.011554,,{'get_tweets': 0.011034011840820312}
3,0.060,1389793545,user_group-2,0.044271,Bad Response: HTTP 201,{'post_tweet': 0.019542932510375977, 'get_tweets': 0.02251720428466797}
4,0.066,1389793545,user_group-1,0.019908,,{'get_tweets': 0.01967310905456543}
5,0.079,1389793545,user_group-1,0.012791,,{'get_tweets': 0.012530088424682617}
6,0.094,1389793545,user_group-2,0.032919,Bad Response: HTTP 201,{'post_tweet': 0.020266056060791016, 'get_tweets': 0.011929988861083984}
7,0.100,1389793545,user_group-1,0.020779,,{'get_tweets': 0.020528078079223633}
8,0.158,1389793545,user_group-1,0.057276,,{'get_tweets': 0.05703401565551758}
9,0.172,1389793545,user_group-2,0.077980,Bad Response: HTTP 201,{'post_tweet': 0.06490492820739746, 'get_tweets': 0.01244211196899414}
10,0.184,1389793545,user_group-1,0.026458,,{'get_tweets': 0.02611398696899414}
11,0.206,1389793545,user_group-2,0.072149,Bad Response: HTTP 201,{'post_tweet': 0.026980876922607422, 'get_tweets': 0.04453396797180176}
12,0.212,1389793545,user_group-1,0.027171,,{'get_tweets': 0.02678704261779785}
13,0.226,1389793545,user_group-2,0.054376,Bad Response: HTTP 201,{'post_tweet': 0.03502297401428223, 'get_tweets': 0.018599987030029297}
14,0.284,1389793545,user_group-1,0.072076,,{'get_tweets': 0.07181906700134277}
15,0.305,1389793545,user_group-2,0.098963,Bad Response: HTTP 201,{'post_tweet': 0.07168793678283691, 'get_tweets': 0.026684999465942383}
16,0.318,1389793545,user_group-1,0.033981,,{'get_tweets': 0.03365015983581543}
17,0.334,1389793545,user_group-2,0.107582,Bad Response: HTTP 201,{'post_tweet': 0.04343008995056152, 'get_tweets': 0.06348991394042969}
18,0.354,1389793545,user_group-2,0.109026,Bad Response: HTTP 201,{'post_tweet': 0.04267597198486328, 'get_tweets': 0.06579709053039551}
19,0.362,1389793545,user_group-1,0.043338,,{'get_tweets': 0.04311394691467285}
20,0.388,1389793545,user_group-2,0.083194,Bad Response: HTTP 201,{'post_tweet': 0.04823613166809082, 'get_tweets': 0.03438282012939453}
21,0.412,1389793545,user_group-1,0.049902,,{'get_tweets': 0.049555063247680664}
22,0.426,1389793545,user_group-2,0.092165,Bad Response: HTTP 201,{'post_tweet': 0.05794095993041992, 'get_tweets': 0.03360700607299805}
23,0.447,1389793545,user_group-2,0.092211,Bad Response: HTTP 201,{'post_tweet': 0.04941916465759277, 'get_tweets': 0.04218482971191406}
24,0.461,1389793545,user_group-2,0.104301,Bad Response: HTTP 201,{'post_tweet': 0.05578112602233887, 'get_tweets': 0.04798603057861328}
25,0.468,1389793545,user_group-1,0.056267,,{'get_tweets': 0.05591583251953125}
26,0.491,1389793545,user_group-2,0.102948,Bad Response: HTTP 201,{'post_tweet': 0.05810713768005371, 'get_tweets': 0.04423999786376953}
27,0.512,1389793545,user_group-1,0.043280,,{'get_tweets': 0.04304981231689453}
28,0.536,1389793545,user_group-2,0.109882,Bad Response: HTTP 201,{'post_tweet': 0.059530019760131836, 'get_tweets': 0.049736976623535156}
29,0.558,1389793545,user_group-2,0.110888,Bad Response: HTTP 201,{'post_tweet': 0.05999493598937988, 'get_tweets': 0.05030417442321777}
30,0.572,1389793545,user_group-2,0.110655,Bad Response: HTTP 201,{'post_tweet': 0.06806302070617676, 'get_tweets': 0.04187798500061035}
31,0.578,1389793545,user_group-1,0.066540,,{'get_tweets': 0.06620287895202637}
32,0.594,1389793545,user_group-2,0.123735,Bad Response: HTTP 201,{'post_tweet': 0.07308506965637207, 'get_tweets': 0.050102949142456055}
33,0.614,1389793545,user_group-2,0.123275,Bad Response: HTTP 201,{'post_tweet': 0.0715789794921875, 'get_tweets': 0.051138877868652344}
34,0.634,1389793545,user_group-1,0.055835,,{'get_tweets': 0.055505990982055664}
35,0.673,1389793545,user_group-2,0.136927,Bad Response: HTTP 201,{'post_tweet': 0.0728759765625, 'get_tweets': 0.06341791152954102}
36,0.695,1389793545,user_group-2,0.137684,Bad Response: HTTP 201,{'post_tweet': 0.07422304153442383, 'get_tweets': 0.06289196014404297}
37,0.710,1389793545,user_group-2,0.137810,Bad Response: HTTP 201,{'post_tweet': 0.0824120044708252, 'get_tweets': 0.05471301078796387}
38,0.717,1389793545,user_group-1,0.082544,,{'get_tweets': 0.08231186866760254}
39,0.731,1389793545,user_group-2,0.149271,Bad Response: HTTP 201,{'post_tweet': 0.07965302467346191, 'get_tweets': 0.06902003288269043}
40,0.746,1389793545,user_group-2,0.151810,Bad Response: HTTP 201,{'post_tweet': 0.08567595481872559, 'get_tweets': 0.06546497344970703}
41,0.767,1389793546,user_group-2,0.152730,Bad Response: HTTP 201,{'post_tweet': 0.08751106262207031, 'get_tweets': 0.06465911865234375}
42,0.796,1389793546,user_group-1,0.078462,,{'get_tweets': 0.07822704315185547}
43,0.859,1389793546,user_group-2,0.185810,Bad Response: HTTP 201,{'post_tweet': 0.10678386688232422, 'get_tweets': 0.07837796211242676}
44,0.887,1389793546,user_group-2,0.191103,Bad Response: HTTP 201,{'post_tweet': 0.11039614677429199, 'get_tweets': 0.08011889457702637}
